,Type,Location,Price,Bedroom,Bathrooms,Toilet
505,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
506,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
507,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
508,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
509,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
510,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
511,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
512,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
513,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
514,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
515,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
516,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
517,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
518,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,No Info,No Info,No Info
519,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
520,1 bedroom mini flat (room and parlour) for rent,"Mojisola Onikoyi Estate Off Banana Island Road, Ikoyi, Lagos",5500000,1,1,1
521,1 bedroom mini flat (room and parlour) for rent,"Mojisola Onikoyi Estate Off Banana Island Road, Ikoyi, Lagos",5500000,1,1,1
522,1 bedroom mini flat (room and parlour) for rent,"Mojisola Onikoyi Estate Off Banana Island Road, Ikoyi, Lagos",5500000,1,1,1
523,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
524,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
525,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
