,Type,Location,Price,Bedroom,Bathrooms,Toilet
225,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
226,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
227,Self contain (single rooms) for rent,"Eleganza Gardens, VGC, Lekki, Lagos",850000,No Info,No Info,No Info
228,Self contain (single rooms) for rent,"Eleganza Gardens, VGC, Lekki, Lagos",850000,No Info,No Info,No Info
229,Self contain (single rooms) for rent,"Eleganza Gardens, VGC, Lekki, Lagos",850000,No Info,No Info,No Info
230,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
231,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
232,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
233,2 bedroom flat / apartment for rent,"Lekki County Road, Ikota, Lekki, Lagos",2500000,2,2,3
234,2 bedroom flat / apartment for rent,"Lekki County Road, Ikota, Lekki, Lagos",2500000,2,2,3
235,2 bedroom flat / apartment for rent,"Lekki County Road, Ikota, Lekki, Lagos",2500000,2,2,3
236,2 bedroom flat / apartment for rent,"Ologolo, Lekki, Lagos",2300000,2,2,3
237,2 bedroom flat / apartment for rent,"Ologolo, Lekki, Lagos",2300000,2,2,3
238,2 bedroom flat / apartment for rent,"Ologolo, Lekki, Lagos",2300000,2,2,3
239,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
240,3 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",85000,3,3,3
241,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
242,Self contain (single rooms) for rent,"Salem, Ikate, Lekki, Lagos",1400000,No Info,No Info,No Info
243,Self contain (single rooms) for rent,"Salem, Ikate, Lekki, Lagos",1400000,No Info,No Info,No Info
244,Self contain (single rooms) for rent,"Salem, Ikate, Lekki, Lagos",1400000,No Info,No Info,No Info
245,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
246,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
247,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
248,3 bedroom flat / apartment for rent,"Igbo Efon, Lekki, Lagos",2500000,3,3,4
249,3 bedroom flat / apartment for rent,"Igbo Efon, Lekki, Lagos",2500000,3,3,4
250,3 bedroom flat / apartment for rent,"Igbo Efon, Lekki, Lagos",2500000,3,3,4
251,Self contain (single rooms) for rent,"Conservation Road, Lekki Expressway, Lekki, Lagos",1000000,No Info,No Info,No Info
252,Self contain (single rooms) for rent,"Conservation Road, Lekki Expressway, Lekki, Lagos",1000000,No Info,No Info,No Info
253,Self contain (single rooms) for rent,"Conservation Road, Lekki Expressway, Lekki, Lagos",1000000,No Info,No Info,No Info
254,3 bedroom flat / apartment for rent,"Conservation Road, Lekki Expressway, Lekki, Lagos",2500000,3,3,4
255,3 bedroom flat / apartment for rent,"Conservation Road, Lekki Expressway, Lekki, Lagos",2500000,3,3,4
256,3 bedroom flat / apartment for rent,"Conservation Road, Lekki Expressway, Lekki, Lagos",2500000,3,3,4
257,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,2,1,1
258,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
259,2 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",75000,2,2,3
260,1 bedroom mini flat (room and parlour) for rent,"Canal West Estate, Osapa, Lekki, Lagos",2000000,1,1,1
261,1 bedroom mini flat (room and parlour) for rent,"Canal West Estate, Osapa, Lekki, Lagos",2000000,1,1,1
