,Type,Location,Price,Bedroom,Bathrooms,Toilet
60,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
61,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
62,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
63,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
64,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
65,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
66,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
67,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
68,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
69,1 bedroom mini flat (room and parlour) for rent,"Olokonla, Dkk, Ajah, Lagos",750000,1,1,2
70,1 bedroom mini flat (room and parlour) for rent,"Olokonla, Dkk, Ajah, Lagos",750000,1,1,2
71,1 bedroom mini flat (room and parlour) for rent,"Olokonla, Dkk, Ajah, Lagos",750000,1,1,2
72,3 bedroom flat / apartment for rent,"Beside Lagos Business School, Olokonla, Ajah, Lagos",1500000,3,3,4
73,3 bedroom flat / apartment for rent,"Beside Lagos Business School, Olokonla, Ajah, Lagos",1500000,3,3,4
74,3 bedroom flat / apartment for rent,"Beside Lagos Business School, Olokonla, Ajah, Lagos",1500000,3,3,4
75,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
76,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
77,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
78,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
79,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
80,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
81,1 bedroom mini flat (room and parlour) for rent,"Hope Ville Estate, Sangotedo, Ajah, Lagos",700000,1,1,1
82,1 bedroom mini flat (room and parlour) for rent,"Hope Ville Estate, Sangotedo, Ajah, Lagos",700000,1,1,1
83,1 bedroom mini flat (room and parlour) for rent,"Hope Ville Estate, Sangotedo, Ajah, Lagos",700000,1,1,1
84,1 bedroom mini flat (room and parlour) for rent,"Olokonla, Dkk, Ajah, Lagos",750000,1,1,2
85,1 bedroom mini flat (room and parlour) for rent,"Olokonla, Dkk, Ajah, Lagos",750000,1,1,2
86,1 bedroom mini flat (room and parlour) for rent,"Olokonla, Dkk, Ajah, Lagos",750000,1,1,2
87,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
88,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
89,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
90,1 bedroom mini flat (room and parlour) for rent,"Hope Ville Estate, Sangotedo, Ajah, Lagos",700000,1,1,1
91,1 bedroom mini flat (room and parlour) for rent,"Hope Ville Estate, Sangotedo, Ajah, Lagos",700000,1,1,1
92,1 bedroom mini flat (room and parlour) for rent,"Hope Ville Estate, Sangotedo, Ajah, Lagos",700000,1,1,1
93,1 bedroom mini flat (room and parlour) for rent,"Olokonla, Dkk, Ajah, Lagos",750000,1,1,2
94,1 bedroom mini flat (room and parlour) for rent,"Olokonla, Dkk, Ajah, Lagos",750000,1,1,2
95,1 bedroom mini flat (room and parlour) for rent,"Olokonla, Dkk, Ajah, Lagos",750000,1,1,2
96,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
97,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
98,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
99,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
100,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
101,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
102,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
103,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
104,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
105,1 bedroom mini flat (room and parlour) for rent,"Hope Ville Estate, Sangotedo, Ajah, Lagos",700000,1,1,1
106,1 bedroom mini flat (room and parlour) for rent,"Hope Ville Estate, Sangotedo, Ajah, Lagos",700000,1,1,1
107,1 bedroom mini flat (room and parlour) for rent,"Hope Ville Estate, Sangotedo, Ajah, Lagos",700000,1,1,1
108,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
109,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
110,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
111,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
112,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
113,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
114,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
115,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
116,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
117,3 bedroom flat / apartment for rent,"Beside Lagos Business School, Olokonla, Ajah, Lagos",1500000,3,3,4
118,3 bedroom flat / apartment for rent,"Beside Lagos Business School, Olokonla, Ajah, Lagos",1500000,3,3,4
119,3 bedroom flat / apartment for rent,"Beside Lagos Business School, Olokonla, Ajah, Lagos",1500000,3,3,4
120,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
121,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
122,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
123,Self contain (single rooms) for rent,"Mobil Road, Ilaje, Ajah, Lagos",600000,No Info,No Info,No Info
124,Self contain (single rooms) for rent,"Mobil Road, Ilaje, Ajah, Lagos",600000,No Info,No Info,No Info
125,Self contain (single rooms) for rent,"Mobil Road, Ilaje, Ajah, Lagos",600000,No Info,No Info,No Info
126,3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2000000,3,3,4
127,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
128,2 bedroom flat / apartment for sale,"The Balconies, Urban Prime Three Phase 2 Estate, Ogombo, Ajah, Lagos",40000000,2,2,3
129,Self contain (single rooms) for rent,"Mobil Road, Ilaje, Ajah, Lagos",600000,No Info,No Info,No Info
130,Self contain (single rooms) for rent,"Mobil Road, Ilaje, Ajah, Lagos",600000,No Info,No Info,No Info
131,Self contain (single rooms) for rent,"Mobil Road, Ilaje, Ajah, Lagos",600000,No Info,No Info,No Info
132,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
133,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
134,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
135,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
136,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
137,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
138,3 bedroom flat / apartment for rent,"Seaside Estate, Badore, Ajah, Lagos",1200000,3,3,4
139,3 bedroom flat / apartment for rent,"Seaside Estate, Badore, Ajah, Lagos",1200000,3,3,4
140,3 bedroom flat / apartment for rent,"Seaside Estate, Badore, Ajah, Lagos",1200000,3,3,4
141,Self contain (single rooms) for rent,"Thomas Estate, Ajiwe, Ajah, Lagos",500000,No Info,No Info,No Info
142,Self contain (single rooms) for rent,"Thomas Estate, Ajiwe, Ajah, Lagos",500000,No Info,No Info,No Info
143,Self contain (single rooms) for rent,"Thomas Estate, Ajiwe, Ajah, Lagos",500000,No Info,No Info,No Info
144,3 bedroom flat / apartment for rent,"Seaside Estate, Badore, Ajah, Lagos",1200000,3,3,4
145,3 bedroom flat / apartment for rent,"Seaside Estate, Badore, Ajah, Lagos",1200000,3,3,4
146,3 bedroom flat / apartment for rent,"Seaside Estate, Badore, Ajah, Lagos",1200000,3,3,4
147,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
148,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
149,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
150,1 bedroom mini flat (room and parlour) for rent,"Ado, Ajah, Lagos",800000,1,1,2
151,1 bedroom mini flat (room and parlour) for rent,"Ado, Ajah, Lagos",800000,1,1,2
152,1 bedroom mini flat (room and parlour) for rent,"Ado, Ajah, Lagos",800000,1,1,2
153,3 bedroom flat / apartment for rent,"Seaside Estate, Badore, Ajah, Lagos",1200000,3,3,4
154,3 bedroom flat / apartment for rent,"Seaside Estate, Badore, Ajah, Lagos",1200000,3,3,4
155,3 bedroom flat / apartment for rent,"Seaside Estate, Badore, Ajah, Lagos",1200000,3,3,4
156,1 bedroom mini flat (room and parlour) for rent,"Ado, Ajah, Lagos",800000,1,1,2
157,1 bedroom mini flat (room and parlour) for rent,"Ado, Ajah, Lagos",800000,1,1,2
158,1 bedroom mini flat (room and parlour) for rent,"Ado, Ajah, Lagos",800000,1,1,2
159,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
160,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
161,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
162,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
163,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
164,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
165,1 bedroom mini flat (room and parlour) for rent,"Ado, Ajah, Lagos",800000,1,1,2
166,1 bedroom mini flat (room and parlour) for rent,"Ado, Ajah, Lagos",800000,1,1,2
167,1 bedroom mini flat (room and parlour) for rent,"Ado, Ajah, Lagos",800000,1,1,2
168,1 bedroom mini flat (room and parlour) for rent,"Hope Ville Estate, Sangotedo, Ajah, Lagos",700000,1,1,1
169,1 bedroom mini flat (room and parlour) for rent,"Hope Ville Estate, Sangotedo, Ajah, Lagos",700000,1,1,1
170,1 bedroom mini flat (room and parlour) for rent,"Hope Ville Estate, Sangotedo, Ajah, Lagos",700000,1,1,1
171,1 bedroom mini flat (room and parlour) for rent,"Ogombo, Ogombo, Ajah, Lagos",650000,1,1,2
172,1 bedroom mini flat (room and parlour) for rent,"Ogombo, Ogombo, Ajah, Lagos",650000,1,1,2
173,1 bedroom mini flat (room and parlour) for rent,"Ogombo, Ogombo, Ajah, Lagos",650000,1,1,2
174,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
175,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
176,2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",1500000,2,2,3
177,1 bedroom mini flat (room and parlour) for rent,"Ogombo, Ogombo, Ajah, Lagos",650000,1,1,2
178,1 bedroom mini flat (room and parlour) for rent,"Ogombo, Ogombo, Ajah, Lagos",650000,1,1,2
179,1 bedroom mini flat (room and parlour) for rent,"Ogombo, Ogombo, Ajah, Lagos",650000,1,1,2
180,1 bedroom mini flat (room and parlour) for rent,"Ado, Ajah, Lagos",800000,1,1,2
181,1 bedroom mini flat (room and parlour) for rent,"Ado, Ajah, Lagos",800000,1,1,2
182,1 bedroom mini flat (room and parlour) for rent,"Ado, Ajah, Lagos",800000,1,1,2
183,3 bedroom flat / apartment for rent,"Seaside Estate, Badore, Ajah, Lagos",1200000,3,3,4
184,3 bedroom flat / apartment for rent,"Seaside Estate, Badore, Ajah, Lagos",1200000,3,3,4
185,3 bedroom flat / apartment for rent,"Seaside Estate, Badore, Ajah, Lagos",1200000,3,3,4
