,Type,Location,Price,Bedroom,Bathrooms,Toilet
159,4 bedroom flat / apartment for rent,"162, Oniwaya Road Opposite Awwarul Islam College, Dopemu, Agege, Lagos",1600000,4,2,3
160,4 bedroom flat / apartment for rent,"162, Oniwaya Road Opposite Awwarul Islam College, Dopemu, Agege, Lagos",1600000,4,2,3
161,4 bedroom flat / apartment for rent,"162, Oniwaya Road Opposite Awwarul Islam College, Dopemu, Agege, Lagos",1600000,4,2,3
162,Self contain (single rooms) for rent,"Olaniyi, Abule Egba, Agege, Lagos",300000,No Info,No Info,No Info
163,Self contain (single rooms) for rent,"Olaniyi, Abule Egba, Agege, Lagos",300000,No Info,No Info,No Info
164,Self contain (single rooms) for rent,"Olaniyi, Abule Egba, Agege, Lagos",300000,No Info,No Info,No Info
165,1 bedroom mini flat (room and parlour) for rent,"Toyin, Iju-Ishaga, Agege, Lagos",400000,1,1,1
166,1 bedroom mini flat (room and parlour) for rent,"Toyin, Iju-Ishaga, Agege, Lagos",400000,1,1,1
167,1 bedroom mini flat (room and parlour) for rent,"Toyin, Iju-Ishaga, Agege, Lagos",400000,1,1,1
168,1 bedroom mini flat (room and parlour) for rent,"Suberu Oje Off Meiran, Abule Egba, Agege, Lagos",200000,1,1,1
169,1 bedroom mini flat (room and parlour) for rent,"Suberu Oje Off Meiran, Abule Egba, Agege, Lagos",200000,1,1,1
170,1 bedroom mini flat (room and parlour) for rent,"Suberu Oje Off Meiran, Abule Egba, Agege, Lagos",200000,1,1,1
171,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
172,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
173,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
174,1 bedroom mini flat (room and parlour) for rent,"In A Gated Street Off Pipeline Road, Fagba, Agege, Lagos",320000,1,1,1
175,1 bedroom mini flat (room and parlour) for rent,"In A Gated Street Off Pipeline Road, Fagba, Agege, Lagos",320000,1,1,1
176,1 bedroom mini flat (room and parlour) for rent,"In A Gated Street Off Pipeline Road, Fagba, Agege, Lagos",320000,1,1,1
177,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
178,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
179,2 bedroom flat / apartment for rent,"Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000,2,5,2
