,Type,Location,Price,Bedroom,Bathrooms,Toilet
43,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
44,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
45,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
46,1 bedroom mini flat (room and parlour) short let,"Sule Abuka Cresent, Beside Gtb Bank, Opebi, Ikeja, Lagos",46500,1,1,1
47,1 bedroom mini flat (room and parlour) short let,"Sule Abuka Cresent, Beside Gtb Bank, Opebi, Ikeja, Lagos",46500,1,1,1
48,1 bedroom mini flat (room and parlour) short let,"Sule Abuka Cresent, Beside Gtb Bank, Opebi, Ikeja, Lagos",46500,1,1,1
49,1 bedroom mini flat (room and parlour) for rent,"Bamishile Estate, Allen, Ikeja, Lagos",1500000,1,1,2
50,1 bedroom mini flat (room and parlour) for rent,"Bamishile Estate, Allen, Ikeja, Lagos",1500000,1,1,2
51,1 bedroom mini flat (room and parlour) for rent,"Bamishile Estate, Allen, Ikeja, Lagos",1500000,1,1,2
52,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
53,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
54,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
55,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
56,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
57,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
58,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
59,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
60,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
61,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
62,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
