,Type,Location,Price,Bedroom,Bathrooms,Toilet
113,Self contain (single rooms) for rent,"Close To 3rd Mainland Bridge, Adekunle, Yaba, Lagos",700000,2,1,1
114,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
115,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
116,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
117,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
118,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
119,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
120,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
121,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
122,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
123,1 bedroom mini flat (room and parlour) short let,"Community Road, Akoka, Yaba, Lagos",450000,1,1,1
124,1 bedroom mini flat (room and parlour) short let,"Community Road, Akoka, Yaba, Lagos",450000,1,1,1
125,1 bedroom mini flat (room and parlour) short let,"Community Road, Akoka, Yaba, Lagos",450000,1,1,1
126,1 bedroom mini flat (room and parlour) short let,"Community Road, Akoka, Yaba, Lagos",450000,1,1,1
127,1 bedroom mini flat (room and parlour) short let,"Community Road, Akoka, Yaba, Lagos",450000,1,1,1
128,1 bedroom mini flat (room and parlour) short let,"Community Road, Akoka, Yaba, Lagos",450000,1,1,1
129,2 bedroom flat / apartment short let,"Onike, Yaba, Lagos",85000,2,1,1
130,2 bedroom flat / apartment short let,"Onike, Yaba, Lagos",85000,2,1,1
131,2 bedroom flat / apartment short let,"Onike, Yaba, Lagos",85000,2,1,1
132,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
133,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
134,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
135,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
